BTCUSDT,64181.190000,64217.300000,1771976238714,1771976237434,1771976237434,200105,247,0
BTCUSDT,57767.740000,64186.380000,1771976238914,1771976237634,1771976237634,199633,47,0
BTCUSDT,64146.330000,64186.380000,1771976239014,1771976237734,1771976237734,100286,93,0
BTCUSDT,64186.370000,64190.410000,1771976239114,1771976237834,1771976237834,99623,69,0
BTCUSDT,64186.370000,64201.450000,1771976239214,1771976237934,1771976237934,100032,57,0
BTCUSDT,64185.660000,64186.380000,1771976239314,1771976238034,1771976238035,100582,201,0
BTCUSDT,64186.370000,64186.380000,1771976239414,1771976238134,1771976238134,99326,52,0
BTCUSDT,64186.370000,64186.380000,1771976239514,1771976238234,1771976238234,99826,95,0
BTCUSDT,64184.480000,64186.380000,1771976239615,1771976238335,1771976238335,101276,121,0
BTCUSDT,64186.370000,64186.380000,1771976239714,1771976238434,1771976238435,99564,338,0
BTCUSDT,64186.370000,64186.380000,1771976239814,1771976238534,1771976238535,100032,419,0
BTCUSDT,64179.660000,64186.380000,1771976239914,1771976238634,1771976238634,99333,104,0
BTCUSDT,64179.440000,64186.380000,1771976240014,1771976238734,1771976238734,99981,83,0
BTCUSDT,64186.370000,64186.380000,1771976240114,1771976238834,1771976238834,100207,233,0
BTCUSDT,64186.370000,64186.380000,1771976240214,1771976238934,1771976238934,100074,102,0
BTCUSDT,64113.050000,64186.380000,1771976240314,1771976239034,1771976239035,100303,207,0
BTCUSDT,64186.370000,64186.380000,1771976240414,1771976239135,1771976239135,100376,212,0
BTCUSDT,63672.880000,70605.020000,1771976240514,1771976239234,1771976239234,99041,42,0
BTCUSDT,64176.570000,64189.520000,1771976240615,1771976239335,1771976239335,101087,73,0
BTCUSDT,64176.560000,64186.380000,1771976240714,1771976239434,1771976239434,98723,65,0
BTCUSDT,64158.240000,64216.880000,1771976240814,1771976239534,1771976239535,100848,159,0
BTCUSDT,57767.740000,64186.380000,1771976241014,1771976239734,1771976239735,199994,151,0
BTCUSDT,62989.660000,64186.380000,1771976241114,1771976239834,1771976239835,100005,158,0
BTCUSDT,64038.320000,64194.930000,1771976241214,1771976239934,1771976239935,100014,235,0
BTCUSDT,57767.740000,64316.650000,1771976241314,1771976240035,1771976240035,100143,147,0
BTCUSDT,64186.370000,64188.460000,1771976241714,1771976240434,1771976240434,399474,57,0
BTCUSDT,64156.220000,64186.380000,1771976241814,1771976240534,1771976240535,100442,301,0
BTCUSDT,57767.740000,64186.380000,1771976241914,1771976240634,1771976240635,99948,298,0
BTCUSDT,57767.740000,64186.380000,1771976242014,1771976240734,1771976240734,99495,43,0
BTCUSDT,64186.370000,64186.380000,1771976242114,1771976240834,1771976240834,99803,49,0
BTCUSDT,64012.290000,64186.380000,1771976242214,1771976240935,1771976240935,100795,249,0
BTCUSDT,57767.740000,64186.380000,1771976242314,1771976241034,1771976241035,99853,258,0
BTCUSDT,64186.370000,64186.380000,1771976242414,1771976241134,1771976241134,99690,208,0
BTCUSDT,64038.110000,64186.380000,1771976242514,1771976241234,1771976241235,100402,182,0
BTCUSDT,64186.370000,64186.380000,1771976242615,1771976241335,1771976241335,100757,173,0
BTCUSDT,57767.740000,64186.380000,1771976242714,1771976241434,1771976241434,98976,138,0
BTCUSDT,64156.220000,64186.380000,1771976242814,1771976241535,1771976241535,100306,173,0
BTCUSDT,57767.740000,64186.380000,1771976242914,1771976241634,1771976241635,99782,233,0
BTCUSDT,57767.740000,64186.380000,1771976243014,1771976241734,1771976241734,99993,145,0
BTCUSDT,57767.740000,64186.380000,1771976243114,1771976241834,1771976241834,100012,142,0
BTCUSDT,64186.370000,64186.380000,1771976243214,1771976241934,1771976241935,100168,177,0
BTCUSDT,57767.740000,64186.380000,1771976243314,1771976242034,1771976242034,99727,142,0
BTCUSDT,61651.190000,64186.380000,1771976243414,1771976242134,1771976242134,99342,68,0
BTCUSDT,64128.250000,64186.380000,1771976243514,1771976242234,1771976242234,100512,176,0
BTCUSDT,64139.390000,64186.380000,1771976243614,1771976242334,1771976242334,99704,46,0
BTCUSDT,57767.740000,64186.380000,1771976243714,1771976242434,1771976242435,100613,305,0
BTCUSDT,57767.740000,64186.380000,1771976243814,1771976242534,1771976242534,99185,108,0
BTCUSDT,64186.370000,64186.380000,1771976243914,1771976242634,1771976242635,100839,145,0
BTCUSDT,57767.740000,64186.380000,1771976244014,1771976242734,1771976242734,99350,43,0
BTCUSDT,57767.740000,64186.380000,1771976244114,1771976242834,1771976242834,99892,41,0
BTCUSDT,57767.740000,64186.380000,1771976244214,1771976242934,1771976242934,100188,40,0
BTCUSDT,57767.740000,64186.380000,1771976244314,1771976243034,1771976243034,99984,39,0
BTCUSDT,57767.740000,64186.380000,1771976244414,1771976243134,1771976243134,100497,152,0
BTCUSDT,63672.880000,64186.380000,1771976244514,1771976243234,1771976243234,99300,69,0
BTCUSDT,64139.390000,64186.380000,1771976244614,1771976243334,1771976243334,100101,60,0
BTCUSDT,64186.370000,64186.380000,1771976244714,1771976243434,1771976243434,100578,154,0
BTCUSDT,64179.440000,64186.380000,1771976244814,1771976243534,1771976243534,99272,86,0
BTCUSDT,64181.560000,64186.380000,1771976244914,1771976243634,1771976243634,100162,77,0
BTCUSDT,64181.560000,64186.380000,1771976245014,1771976243734,1771976243734,100167,81,0
BTCUSDT,57767.740000,64186.380000,1771976245114,1771976243834,1771976243834,99850,41,0
BTCUSDT,57767.740000,64186.380000,1771976245214,1771976243934,1771976243934,99946,51,0
BTCUSDT,64186.370000,64186.380000,1771976245314,1771976244034,1771976244034,99921,49,0
BTCUSDT,64158.350000,64186.380000,1771976245414,1771976244134,1771976244134,100093,45,0
BTCUSDT,63672.880000,64186.380000,1771976245514,1771976244234,1771976244234,100150,46,0
BTCUSDT,63672.880000,64186.380000,1771976245614,1771976244335,1771976244335,100971,352,0
BTCUSDT,64181.810000,64186.380000,1771976245714,1771976244434,1771976244434,98855,55,0
BTCUSDT,64181.190000,64186.380000,1771976245814,1771976244534,1771976244534,99987,52,0
BTCUSDT,64178.960000,64186.380000,1771976245914,1771976244635,1771976244635,100861,369,0
BTCUSDT,57767.740000,64186.380000,1771976246014,1771976244733,1771976244733,98874,42,0
BTCUSDT,57767.740000,64186.380000,1771976246114,1771976244834,1771976244834,100310,83,0
BTCUSDT,57767.740000,64186.380000,1771976246214,1771976244934,1771976244934,100016,98,0
BTCUSDT,64158.650000,64186.380000,1771976246314,1771976245034,1771976245034,100309,174,0
BTCUSDT,64175.910000,64186.380000,1771976246414,1771976245135,1771976245135,100590,275,0
BTCUSDT,64172.970000,64186.380000,1771976246514,1771976245234,1771976245234,99094,69,0
BTCUSDT,63672.880000,64261.880000,1771976246614,1771976245334,1771976245334,100018,77,0
BTCUSDT,64079.290000,64750.970000,1771976246714,1771976245435,1771976245435,100852,216,0
BTCUSDT,64186.370000,64186.380000,1771976246814,1771976245534,1771976245535,99803,227,0
BTCUSDT,57767.740000,64186.380000,1771976246914,1771976245634,1771976245634,99585,108,0
BTCUSDT,57767.740000,64186.380000,1771976247114,1771976245833,1771976245833,199442,48,0
