discount_bps,min_rest_ms,entries,fills,fill_rate,total_pnl,realized_pnl,unrealized_pnl,pnl_bps_on_notional,fees_paid,slippage_cost,avg_time_to_fill_ms,sharpe_like
5.000000,0,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
5.000000,500,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
5.000000,1500,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
5.000000,3000,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
5.000000,5000,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
10.000000,0,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
10.000000,500,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
10.000000,1500,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
10.000000,3000,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
10.000000,5000,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
20.000000,0,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
20.000000,500,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
20.000000,1500,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
20.000000,3000,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
20.000000,5000,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
30.000000,0,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
30.000000,500,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
30.000000,1500,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
30.000000,3000,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
30.000000,5000,0,0,0.00000000,0.0000000000,0.0000000000,0.0000000000,0.00000000,0.0000000000,0.0000000000,,0.00000000
